frame,id,class_id,class_name,postTime,lon,lat,sog,cog
7,3,0,ship,2026-03-07T12:58:48,119.384251264,32.226915144,12.5056,139.98
7,5,0,ship,2026-03-07T12:58:48,119.386910000,32.224010000,7.3515,304.51
8,3,0,ship,2026-03-07T12:58:50,119.384339163,32.226826382,12.5280,140.05
8,5,0,ship,2026-03-07T12:58:50,119.386843761,32.224048606,7.3624,304.56
9,3,0,ship,2026-03-07T12:58:52,119.384427095,32.226737377,12.5501,140.11
9,5,0,ship,2026-03-07T12:58:52,119.386777488,32.224087309,7.3708,304.62
10,3,0,ship,2026-03-07T12:58:54,119.384515055,32.226648135,12.5715,140.18
10,5,0,ship,2026-03-07T12:58:54,119.386711205,32.224126091,7.3766,304.67
11,3,0,ship,2026-03-07T12:58:56,119.384603039,32.226558664,12.5919,140.24
11,5,0,ship,2026-03-07T12:58:56,119.386644934,32.224164937,7.3795,304.72
12,3,0,ship,2026-03-07T12:58:58,119.384691038,32.226468975,12.6109,140.31
12,5,0,ship,2026-03-07T12:58:58,119.386578696,32.224203827,7.3797,304.76
13,3,0,ship,2026-03-07T12:59:00,119.384779042,32.226379081,12.6283,140.37
13,5,0,ship,2026-03-07T12:59:00,119.386512516,32.224242744,7.3771,304.80
14,3,0,ship,2026-03-07T12:59:02,119.384867042,32.226288999,12.6438,140.43
14,5,0,ship,2026-03-07T12:59:02,119.386446414,32.224281670,7.3717,304.84
15,3,0,ship,2026-03-07T12:59:04,119.384955025,32.226198746,12.6571,140.49
15,5,0,ship,2026-03-07T12:59:04,119.386380411,32.224320586,7.3637,304.88
16,3,0,ship,2026-03-07T12:59:06,119.385042980,32.226108342,12.6680,140.54
16,5,0,ship,2026-03-07T12:59:06,119.386314528,32.224359476,7.3531,304.91
17,3,0,ship,2026-03-07T12:59:08,119.385130892,32.226017808,12.6764,140.60
17,5,0,ship,2026-03-07T12:59:08,119.386248783,32.224398322,7.3401,304.93
18,3,0,ship,2026-03-07T12:59:10,119.385218749,32.225927167,12.6822,140.65
18,5,0,ship,2026-03-07T12:59:10,119.386183191,32.224437109,7.3249,304.95
19,3,0,ship,2026-03-07T12:59:12,119.385306537,32.225836443,12.6851,140.70
19,5,0,ship,2026-03-07T12:59:12,119.386117767,32.224475823,7.3077,304.97
20,3,0,ship,2026-03-07T12:59:14,119.385394242,32.225745659,12.6853,140.74
20,5,0,ship,2026-03-07T12:59:14,119.386052522,32.224514450,7.2889,304.99
21,3,0,ship,2026-03-07T12:59:16,119.385481851,32.225654840,12.6827,140.78
21,5,0,ship,2026-03-07T12:59:16,119.385987465,32.224552978,7.2687,304.99
22,3,0,ship,2026-03-07T12:59:18,119.385569352,32.225564010,12.6773,140.82
22,5,0,ship,2026-03-07T12:59:18,119.385922603,32.224591399,7.2474,305.00
23,3,0,ship,2026-03-07T12:59:20,119.385656733,32.225473195,12.6693,140.86
23,5,0,ship,2026-03-07T12:59:20,119.385857937,32.224629703,7.2254,305.00
24,3,0,ship,2026-03-07T12:59:22,119.385743985,32.225382416,12.6587,140.89
24,5,0,ship,2026-03-07T12:59:22,119.385793469,32.224667884,7.2030,305.00
25,3,0,ship,2026-03-07T12:59:24,119.385831098,32.225291697,12.6457,140.91
25,5,0,ship,2026-03-07T12:59:24,119.385729195,32.224705938,7.1805,304.99
26,3,0,ship,2026-03-07T12:59:26,119.385918064,32.225201059,12.6305,140.93
26,5,0,ship,2026-03-07T12:59:26,119.385665110,32.224743862,7.1584,304.97
27,3,0,ship,2026-03-07T12:59:28,119.386004879,32.225110521,12.6133,140.95
27,5,0,ship,2026-03-07T12:59:28,119.385601203,32.224781656,7.1369,304.96
28,3,0,ship,2026-03-07T12:59:30,119.386091540,32.225020100,12.5945,140.97
28,5,0,ship,2026-03-07T12:59:30,119.385537463,32.224819321,7.1163,304.94
29,3,0,ship,2026-03-07T12:59:32,119.386178044,32.224929813,12.5743,140.97
29,5,0,ship,2026-03-07T12:59:32,119.385473876,32.224856860,7.0971,304.91
30,3,0,ship,2026-03-07T12:59:34,119.386264393,32.224839673,12.5530,140.98
30,5,0,ship,2026-03-07T12:59:34,119.385410423,32.224894278,7.0795,304.88
31,3,0,ship,2026-03-07T12:59:36,119.386350590,32.224749691,12.5310,140.98
31,5,0,ship,2026-03-07T12:59:36,119.385347086,32.224931582,7.0638,304.85
32,3,0,ship,2026-03-07T12:59:38,119.386436641,32.224659874,12.5086,140.98
32,5,0,ship,2026-03-07T12:59:38,119.385283841,32.224968779,7.0502,304.81
33,3,0,ship,2026-03-07T12:59:40,119.386522553,32.224570230,12.4861,140.97
33,5,0,ship,2026-03-07T12:59:40,119.385220667,32.225005878,7.0389,304.77
34,3,0,ship,2026-03-07T12:59:42,119.386608336,32.224480762,12.4640,140.95
34,5,0,ship,2026-03-07T12:59:42,119.385157537,32.225042889,7.0301,304.72
35,3,0,ship,2026-03-07T12:59:44,119.386694003,32.224391470,12.4425,140.94
35,5,0,ship,2026-03-07T12:59:44,119.385094425,32.225079824,7.0240,304.68
36,3,0,ship,2026-03-07T12:59:46,119.386779568,32.224302352,12.4219,140.92
36,5,0,ship,2026-03-07T12:59:46,119.385031305,32.225116695,7.0207,304.62
37,3,0,ship,2026-03-07T12:59:48,119.386865048,32.224213404,12.4027,140.89
37,5,0,ship,2026-03-07T12:59:48,119.384968150,32.225153512,7.0201,304.57
38,3,0,ship,2026-03-07T12:59:50,119.386950461,32.224124621,12.3851,140.86
38,5,0,ship,2026-03-07T12:59:50,119.384904931,32.225190289,7.0224,304.52
39,3,0,ship,2026-03-07T12:59:52,119.387035827,32.224035992,12.3694,140.83
39,5,0,ship,2026-03-07T12:59:52,119.384841624,32.225227038,7.0274,304.46
40,3,0,ship,2026-03-07T12:59:54,119.387121167,32.223947508,12.3558,140.79
40,5,0,ship,2026-03-07T12:59:54,119.384778201,32.225263771,7.0351,304.40
41,3,0,ship,2026-03-07T12:59:56,119.387206504,32.223859157,12.3445,140.75
41,5,0,ship,2026-03-07T12:59:56,119.384714638,32.225300500,7.0454,304.33
42,3,0,ship,2026-03-07T12:59:58,119.387291861,32.223770924,12.3357,140.70
42,5,0,ship,2026-03-07T12:59:58,119.384650913,32.225337235,7.0581,304.27
43,3,0,ship,2026-03-07T13:00:00,119.387377263,32.223682795,12.3296,140.66
43,5,0,ship,2026-03-07T13:00:00,119.384587004,32.225373986,7.0730,304.21
44,3,0,ship,2026-03-07T13:00:02,119.387462733,32.223594753,12.3263,140.60
44,5,0,ship,2026-03-07T13:00:02,119.384522892,32.225410763,7.0899,304.14
45,3,0,ship,2026-03-07T13:00:04,119.387548296,32.223506783,12.3257,140.55
45,5,0,ship,2026-03-07T13:00:04,119.384458561,32.225447574,7.1085,304.07
46,3,0,ship,2026-03-07T13:00:06,119.387633977,32.223418868,12.3280,140.50
46,5,0,ship,2026-03-07T13:00:06,119.384393999,32.225484425,7.1286,304.01
