frame,id,class_id,class_name,postTime,lon,lat,sog,cog
7,3,0,ship,2026-03-07T12:58:48,119.384251264,32.226915144,12.5056,139.98
8,3,0,ship,2026-03-07T12:58:50,119.384339163,32.226826382,12.528,140.05
9,3,0,ship,2026-03-07T12:58:52,119.384427095,32.226737377,12.5501,140.11
10,3,0,ship,2026-03-07T12:58:54,119.384515055,32.226648135,12.5715,140.18
11,3,0,ship,2026-03-07T12:58:56,119.384603039,32.226558664,12.5919,140.24
12,3,0,ship,2026-03-07T12:58:58,119.384691038,32.226468975,12.6109,140.31
13,3,0,ship,2026-03-07T12:59:00,119.384779042,32.226379081,12.6283,140.37
14,3,0,ship,2026-03-07T12:59:02,119.384867042,32.226288999,12.6438,140.43
15,3,0,ship,2026-03-07T12:59:04,119.384955025,32.226198746,12.6571,140.49
16,3,0,ship,2026-03-07T12:59:06,119.38504298,32.226108342,12.668,140.54
17,3,0,ship,2026-03-07T12:59:08,119.385130892,32.226017808,12.6764,140.6
18,3,0,ship,2026-03-07T12:59:10,119.385218749,32.225927167,12.6822,140.65
19,3,0,ship,2026-03-07T12:59:12,119.385306537,32.225836443,12.6851,140.7
20,3,0,ship,2026-03-07T12:59:14,119.385394242,32.225745659,12.6853,140.74
21,3,0,ship,2026-03-07T12:59:16,119.385481851,32.22565484,12.6827,140.78
22,3,0,ship,2026-03-07T12:59:18,119.385569352,32.22556401,12.6773,140.82
23,3,0,ship,2026-03-07T12:59:20,119.385656733,32.225473195,12.6693,140.86
24,3,0,ship,2026-03-07T12:59:22,119.385743985,32.225382416,12.6587,140.89
25,3,0,ship,2026-03-07T12:59:24,119.385831098,32.225291697,12.6457,140.91
26,3,0,ship,2026-03-07T12:59:26,119.385918064,32.225201059,12.6305,140.93
27,3,0,ship,2026-03-07T12:59:28,119.386004879,32.225110521,12.6133,140.95
28,3,0,ship,2026-03-07T12:59:30,119.38609154,32.2250201,12.5945,140.97
29,3,0,ship,2026-03-07T12:59:32,119.386178044,32.224929813,12.5743,140.97
30,3,0,ship,2026-03-07T12:59:34,119.386264393,32.224839673,12.553,140.98
