split,trajectory_id,window_id,window_start_index,history_start_index,history_end_index_exclusive,target_start_index,target_end_index_exclusive,history_start_time,history_end_time,target_start_time,target_end_time,history_length,prediction_horizon,stride
train,AIS_MMSI_412345679_SEG_000,AIS_MMSI_412345679_SEG_000_W000000,0,0,40,40,60,2025-07-09T07:15:00,2025-07-09T09:52:15,2025-07-09T09:56:06,2025-07-09T11:12:40,40,20,20
train,UAV_sequence_20260307_a_ID_3_SEG_000,UAV_sequence_20260307_a_ID_3_SEG_000_W000000,0,0,40,40,60,2026-03-07T12:58:48,2026-03-07T13:00:06,2026-03-07T13:00:08,2026-03-07T13:00:46,40,20,20
train,UAV_sequence_20260307_a_ID_3_SEG_000,UAV_sequence_20260307_a_ID_3_SEG_000_W000001,20,20,60,60,80,2026-03-07T12:59:28,2026-03-07T13:00:46,2026-03-07T13:00:48,2026-03-07T13:01:26,40,20,20
train,UAV_sequence_20260307_a_ID_3_SEG_000,UAV_sequence_20260307_a_ID_3_SEG_000_W000002,40,40,80,80,100,2026-03-07T13:00:08,2026-03-07T13:01:26,2026-03-07T13:01:28,2026-03-07T13:02:06,40,20,20
validation,AIS_MMSI_412345678_SEG_001,AIS_MMSI_412345678_SEG_001_W000000,0,0,40,40,60,2025-07-23T08:10:00,2025-07-23T11:26:15,2025-07-23T11:31:06,2025-07-23T13:06:40,40,20,20
validation,UAV_sequence_20260307_a_ID_5_SEG_000,UAV_sequence_20260307_a_ID_5_SEG_000_W000000,0,0,40,40,60,2026-03-07T12:58:48,2026-03-07T13:00:06,2026-03-07T13:00:08,2026-03-07T13:00:46,40,20,20
validation,UAV_sequence_20260307_a_ID_5_SEG_000,UAV_sequence_20260307_a_ID_5_SEG_000_W000001,20,20,60,60,80,2026-03-07T12:59:28,2026-03-07T13:00:46,2026-03-07T13:00:48,2026-03-07T13:01:26,40,20,20
test,AIS_MMSI_412345678_SEG_002,AIS_MMSI_412345678_SEG_002_W000000,0,0,40,40,60,2025-07-28T06:30:00,2025-07-28T09:46:15,2025-07-28T09:51:06,2025-07-28T11:26:40,40,20,20
test,UAV_sequence_20260308_b_ID_2_SEG_000,UAV_sequence_20260308_b_ID_2_SEG_000_W000000,0,0,40,40,60,2026-03-08T09:15:00,2026-03-08T09:16:18,2026-03-08T09:16:20,2026-03-08T09:16:58,40,20,20
test,UAV_sequence_20260308_b_ID_2_SEG_000,UAV_sequence_20260308_b_ID_2_SEG_000_W000001,20,20,60,60,80,2026-03-08T09:15:40,2026-03-08T09:16:58,2026-03-08T09:17:00,2026-03-08T09:17:38,40,20,20
