frame,id,class_id,class_name,postTime,lon,lat,sog,cog,zc
7,3,0,ship,2026-03-07T12:58:48,119.384251264,32.226915144,12.5056,139.98,335.516411
8,3,0,ship,2026-03-07T12:58:50,119.384318240,32.226819810,11.5256,149.28,332.517346
9,3,0,ship,2026-03-07T12:58:52,119.384360027,32.226734051,9.3384,157.60,329.158047
10,3,0,ship,2026-03-07T12:58:54,119.384420198,32.226650313,10.3786,148.71,326.551050
11,3,0,ship,2026-03-07T12:58:56,119.384467106,32.226579425,8.5859,150.76,324.200646
12,3,0,ship,2026-03-07T12:58:58,119.384521009,32.226503213,9.4849,149.11,321.804663
13,3,0,ship,2026-03-07T12:59:00,119.384578951,32.226425163,9.9238,147.87,319.437568
14,3,0,ship,2026-03-07T12:59:02,119.384635124,32.226343629,10.2347,149.77,316.807220
15,3,0,ship,2026-03-07T12:59:04,119.384680065,32.226270555,8.9585,152.51,314.284157
16,3,0,ship,2026-03-07T12:59:06,119.384709164,32.226194602,8.4916,162.04,311.025581
17,3,0,ship,2026-03-07T12:59:08,119.384726383,32.226124536,7.5600,168.26,307.693979
18,3,0,ship,2026-03-07T12:59:10,119.384767411,32.226053584,8.6573,153.93,305.159858
